feature_name,source_column,feature_group,transformation,timing,safe_for_prediction,notes
GW,GW,identifier_metadata,raw/renamed,IDENTIFIER,REVIEW,"Use for grouping, joins, or reporting; not as an unexamined numeric feature"
season,season_x,identifier_metadata,raw/renamed,IDENTIFIER,REVIEW,"Renamed from season_x; Use for grouping, joins, or reporting; not as an unexamined numeric feature"
position,position,identifier_metadata,raw/renamed,IDENTIFIER,REVIEW,"Use for grouping, joins, or reporting; not as an unexamined numeric feature"
team,team,identifier_metadata,raw/renamed,IDENTIFIER,REVIEW,"Use for grouping, joins, or reporting; not as an unexamined numeric feature"
xP,xP,fpl_expected_points,raw,UNKNOWN,UNSAFE_LEAKAGE,README warns scraper may record ep_this after the match
expected_assists,expected_assists,current_fixture_outcome,raw,POST_MATCH,UNSAFE_LEAKAGE,Current fixture outcome; preserve but never use directly as predictor
expected_goal_involvements,expected_goal_involvements,current_fixture_outcome,raw,POST_MATCH,UNSAFE_LEAKAGE,Current fixture outcome; preserve but never use directly as predictor
expected_goals,expected_goals,current_fixture_outcome,raw,POST_MATCH,UNSAFE_LEAKAGE,Current fixture outcome; preserve but never use directly as predictor
expected_goals_conceded,expected_goals_conceded,current_fixture_outcome,raw,POST_MATCH,UNSAFE_LEAKAGE,Current fixture outcome; preserve but never use directly as predictor
starts,starts,current_fixture_outcome,raw,POST_MATCH,UNSAFE_LEAKAGE,Current fixture outcome; preserve but never use directly as predictor
mng_clean_sheets,mng_clean_sheets,current_fixture_outcome,raw,POST_MATCH,UNSAFE_LEAKAGE,Assistant Manager scoring component in 2024/25; match-result-derived
mng_draw,mng_draw,current_fixture_outcome,raw,POST_MATCH,UNSAFE_LEAKAGE,Assistant Manager scoring component in 2024/25; match-result-derived
mng_goals_scored,mng_goals_scored,current_fixture_outcome,raw,POST_MATCH,UNSAFE_LEAKAGE,Assistant Manager scoring component in 2024/25; match-result-derived
mng_loss,mng_loss,current_fixture_outcome,raw,POST_MATCH,UNSAFE_LEAKAGE,Assistant Manager scoring component in 2024/25; match-result-derived
mng_underdog_draw,mng_underdog_draw,current_fixture_outcome,raw,POST_MATCH,UNSAFE_LEAKAGE,Assistant Manager scoring component in 2024/25; match-result-derived
mng_underdog_win,mng_underdog_win,current_fixture_outcome,raw,POST_MATCH,UNSAFE_LEAKAGE,Assistant Manager scoring component in 2024/25; match-result-derived
mng_win,mng_win,current_fixture_outcome,raw,POST_MATCH,UNSAFE_LEAKAGE,Assistant Manager scoring component in 2024/25; match-result-derived
modified,modified,market,raw snapshot,UNKNOWN,REVIEW,Exact pre/post-deadline collection timing is not guaranteed
defensive_contribution,defensive_contribution,current_fixture_outcome,raw,POST_MATCH,UNSAFE_LEAKAGE,"FPL API match-level defensive-contribution count, present from 2025/26"
derived_team_id,derived_team_id,identifier_metadata,raw/renamed,IDENTIFIER,REVIEW,"Use for grouping, joins, or reporting; not as an unexamined numeric feature"
opp_team_name,opp_team_name,identifier_metadata,raw/renamed,IDENTIFIER,REVIEW,"Use for grouping, joins, or reporting; not as an unexamined numeric feature"
points,points,current_fixture_outcome,raw,POST_MATCH,UNSAFE_LEAKAGE,Current fixture outcome; preserve but never use directly as predictor
team_goals_scored,team_goals_scored,current_fixture_outcome,raw,POST_MATCH,UNSAFE_LEAKAGE,Current fixture outcome; preserve but never use directly as predictor
team_goals_conceded,team_goals_conceded,current_fixture_outcome,raw,POST_MATCH,UNSAFE_LEAKAGE,Current fixture outcome; preserve but never use directly as predictor
team_goals_diff,team_goals_diff,current_fixture_outcome,raw,POST_MATCH,UNSAFE_LEAKAGE,Current fixture outcome; preserve but never use directly as predictor
points_before_match,points_before_match,team,raw pre-match cumulative,PRE_MATCH,SAFE,Validated against prior team fixture in expanded source
team_goals_scored_before_match,team_goals_scored_before_match,team,raw pre-match cumulative,PRE_MATCH,SAFE,Validated against prior team fixture in expanded source
team_goals_conceded_before_match,team_goals_conceded_before_match,team,raw pre-match cumulative,PRE_MATCH,SAFE,Validated against prior team fixture in expanded source
team_goals_diff_before_match,team_goals_diff_before_match,team,raw pre-match cumulative,PRE_MATCH,SAFE,Validated against prior team fixture in expanded source
price_m,price_m,market,raw snapshot,UNKNOWN,REVIEW,Exact pre/post-deadline collection timing is not guaranteed
target_points,total_points,target,copy,POST_MATCH,UNSAFE_LEAKAGE,Model target
minutes_last1,minutes,playing_time,shift(1),HISTORICAL_SHIFTED,SAFE,
games_available_last3,fixture,sample_size,"count of prior fixture observations, capped at 3",HISTORICAL_SHIFTED,SAFE,
minutes_last3,minutes,playing_time,"shift(1), rolling(3).sum(min_periods=1)",HISTORICAL_SHIFTED,SAFE,
minutes_avg3,minutes,playing_time,minutes_last3 / games_available_last3,HISTORICAL_SHIFTED,SAFE,
starts_last3,starts,playing_time,"shift(1), rolling(3).sum(min_periods=1)",HISTORICAL_SHIFTED,SAFE,
start_rate3,"starts,fixture",playing_time,starts_last3 / games_available_last3,HISTORICAL_SHIFTED,SAFE,
games_60plus_last3,minutes,playing_time,"shift(1), rolling(3).sum(minutes >= 60)",HISTORICAL_SHIFTED,SAFE,
games_80plus_last3,minutes,playing_time,"shift(1), rolling(3).sum(minutes >= 80)",HISTORICAL_SHIFTED,SAFE,
games_available_last5,fixture,sample_size,"count of prior fixture observations, capped at 5",HISTORICAL_SHIFTED,SAFE,
minutes_last5,minutes,playing_time,"shift(1), rolling(5).sum(min_periods=1)",HISTORICAL_SHIFTED,SAFE,
minutes_avg5,minutes,playing_time,minutes_last5 / games_available_last5,HISTORICAL_SHIFTED,SAFE,
starts_last5,starts,playing_time,"shift(1), rolling(5).sum(min_periods=1)",HISTORICAL_SHIFTED,SAFE,
start_rate5,"starts,fixture",playing_time,starts_last5 / games_available_last5,HISTORICAL_SHIFTED,SAFE,
games_60plus_last5,minutes,playing_time,"shift(1), rolling(5).sum(minutes >= 60)",HISTORICAL_SHIFTED,SAFE,
games_80plus_last5,minutes,playing_time,"shift(1), rolling(5).sum(minutes >= 80)",HISTORICAL_SHIFTED,SAFE,
games_available_last10,fixture,sample_size,"count of prior fixture observations, capped at 10",HISTORICAL_SHIFTED,SAFE,
minutes_last10,minutes,playing_time,"shift(1), rolling(10).sum(min_periods=1)",HISTORICAL_SHIFTED,SAFE,
minutes_avg10,minutes,playing_time,minutes_last10 / games_available_last10,HISTORICAL_SHIFTED,SAFE,
starts_last10,starts,playing_time,"shift(1), rolling(10).sum(min_periods=1)",HISTORICAL_SHIFTED,SAFE,
start_rate10,"starts,fixture",playing_time,starts_last10 / games_available_last10,HISTORICAL_SHIFTED,SAFE,
games_60plus_last10,minutes,playing_time,"shift(1), rolling(10).sum(minutes >= 60)",HISTORICAL_SHIFTED,SAFE,
games_80plus_last10,minutes,playing_time,"shift(1), rolling(10).sum(minutes >= 80)",HISTORICAL_SHIFTED,SAFE,
games_played_season_before,minutes,sample_size,"shift(1), season expanding sum(minutes > 0)",HISTORICAL_SHIFTED,SAFE,
minutes_season_before,minutes,playing_time,"shift(1), season expanding sum",HISTORICAL_SHIFTED,SAFE,
starts_season_before,starts,playing_time,"shift(1), season expanding sum",HISTORICAL_SHIFTED,SAFE,
start_rate_season_before,"starts,fixture",playing_time,starts_season_before / prior fixture observations,HISTORICAL_SHIFTED,SAFE,
goals_last3,goals_scored,attacking,"shift(1), rolling(3).sum(min_periods=1)",HISTORICAL_SHIFTED,SAFE,
goals_last5,goals_scored,attacking,"shift(1), rolling(5).sum(min_periods=1)",HISTORICAL_SHIFTED,SAFE,
goals_last10,goals_scored,attacking,"shift(1), rolling(10).sum(min_periods=1)",HISTORICAL_SHIFTED,SAFE,
goals_season_before,goals_scored,attacking,"shift(1), season expanding sum",HISTORICAL_SHIFTED,SAFE,
assists_last3,assists,attacking,"shift(1), rolling(3).sum(min_periods=1)",HISTORICAL_SHIFTED,SAFE,
assists_last5,assists,attacking,"shift(1), rolling(5).sum(min_periods=1)",HISTORICAL_SHIFTED,SAFE,
assists_last10,assists,attacking,"shift(1), rolling(10).sum(min_periods=1)",HISTORICAL_SHIFTED,SAFE,
assists_season_before,assists,attacking,"shift(1), season expanding sum",HISTORICAL_SHIFTED,SAFE,
xG_last3,expected_goals,attacking,"shift(1), rolling(3).sum(min_periods=1)",HISTORICAL_SHIFTED,SAFE,
xG_last5,expected_goals,attacking,"shift(1), rolling(5).sum(min_periods=1)",HISTORICAL_SHIFTED,SAFE,
xG_last10,expected_goals,attacking,"shift(1), rolling(10).sum(min_periods=1)",HISTORICAL_SHIFTED,SAFE,
xG_season_before,expected_goals,attacking,"shift(1), season expanding sum",HISTORICAL_SHIFTED,SAFE,
xA_last3,expected_assists,attacking,"shift(1), rolling(3).sum(min_periods=1)",HISTORICAL_SHIFTED,SAFE,
xA_last5,expected_assists,attacking,"shift(1), rolling(5).sum(min_periods=1)",HISTORICAL_SHIFTED,SAFE,
xA_last10,expected_assists,attacking,"shift(1), rolling(10).sum(min_periods=1)",HISTORICAL_SHIFTED,SAFE,
xA_season_before,expected_assists,attacking,"shift(1), season expanding sum",HISTORICAL_SHIFTED,SAFE,
xGI_last3,expected_goal_involvements,attacking,"shift(1), rolling(3).sum(min_periods=1)",HISTORICAL_SHIFTED,SAFE,
xGI_last5,expected_goal_involvements,attacking,"shift(1), rolling(5).sum(min_periods=1)",HISTORICAL_SHIFTED,SAFE,
xGI_last10,expected_goal_involvements,attacking,"shift(1), rolling(10).sum(min_periods=1)",HISTORICAL_SHIFTED,SAFE,
xGI_season_before,expected_goal_involvements,attacking,"shift(1), season expanding sum",HISTORICAL_SHIFTED,SAFE,
big_chances_created_last3,big_chances_created,attacking,"shift(1), rolling(3).sum(min_periods=1)",HISTORICAL_SHIFTED,SAFE,
big_chances_created_last5,big_chances_created,attacking,"shift(1), rolling(5).sum(min_periods=1)",HISTORICAL_SHIFTED,SAFE,
big_chances_created_last10,big_chances_created,attacking,"shift(1), rolling(10).sum(min_periods=1)",HISTORICAL_SHIFTED,SAFE,
big_chances_created_season_before,big_chances_created,attacking,"shift(1), season expanding sum",HISTORICAL_SHIFTED,SAFE,
big_chances_missed_last3,big_chances_missed,attacking,"shift(1), rolling(3).sum(min_periods=1)",HISTORICAL_SHIFTED,SAFE,
big_chances_missed_last5,big_chances_missed,attacking,"shift(1), rolling(5).sum(min_periods=1)",HISTORICAL_SHIFTED,SAFE,
big_chances_missed_last10,big_chances_missed,attacking,"shift(1), rolling(10).sum(min_periods=1)",HISTORICAL_SHIFTED,SAFE,
big_chances_missed_season_before,big_chances_missed,attacking,"shift(1), season expanding sum",HISTORICAL_SHIFTED,SAFE,
key_passes_last3,key_passes,attacking,"shift(1), rolling(3).sum(min_periods=1)",HISTORICAL_SHIFTED,SAFE,
key_passes_last5,key_passes,attacking,"shift(1), rolling(5).sum(min_periods=1)",HISTORICAL_SHIFTED,SAFE,
key_passes_last10,key_passes,attacking,"shift(1), rolling(10).sum(min_periods=1)",HISTORICAL_SHIFTED,SAFE,
key_passes_season_before,key_passes,attacking,"shift(1), season expanding sum",HISTORICAL_SHIFTED,SAFE,
target_missed_last3,target_missed,attacking,"shift(1), rolling(3).sum(min_periods=1)",HISTORICAL_SHIFTED,SAFE,
target_missed_last5,target_missed,attacking,"shift(1), rolling(5).sum(min_periods=1)",HISTORICAL_SHIFTED,SAFE,
target_missed_last10,target_missed,attacking,"shift(1), rolling(10).sum(min_periods=1)",HISTORICAL_SHIFTED,SAFE,
target_missed_season_before,target_missed,attacking,"shift(1), season expanding sum",HISTORICAL_SHIFTED,SAFE,
crosses_last3,open_play_crosses,attacking,"shift(1), rolling(3).sum(min_periods=1)",HISTORICAL_SHIFTED,SAFE,
crosses_last5,open_play_crosses,attacking,"shift(1), rolling(5).sum(min_periods=1)",HISTORICAL_SHIFTED,SAFE,
crosses_last10,open_play_crosses,attacking,"shift(1), rolling(10).sum(min_periods=1)",HISTORICAL_SHIFTED,SAFE,
crosses_season_before,open_play_crosses,attacking,"shift(1), season expanding sum",HISTORICAL_SHIFTED,SAFE,
dribbles_last3,dribbles,attacking,"shift(1), rolling(3).sum(min_periods=1)",HISTORICAL_SHIFTED,SAFE,
dribbles_last5,dribbles,attacking,"shift(1), rolling(5).sum(min_periods=1)",HISTORICAL_SHIFTED,SAFE,
dribbles_last10,dribbles,attacking,"shift(1), rolling(10).sum(min_periods=1)",HISTORICAL_SHIFTED,SAFE,
dribbles_season_before,dribbles,attacking,"shift(1), season expanding sum",HISTORICAL_SHIFTED,SAFE,
offsides_last3,offside,attacking,"shift(1), rolling(3).sum(min_periods=1)",HISTORICAL_SHIFTED,SAFE,
offsides_last5,offside,attacking,"shift(1), rolling(5).sum(min_periods=1)",HISTORICAL_SHIFTED,SAFE,
offsides_last10,offside,attacking,"shift(1), rolling(10).sum(min_periods=1)",HISTORICAL_SHIFTED,SAFE,
offsides_season_before,offside,attacking,"shift(1), season expanding sum",HISTORICAL_SHIFTED,SAFE,
threat_last3,threat,ict,"shift(1), rolling(3).sum(min_periods=1)",HISTORICAL_SHIFTED,SAFE,
threat_avg3,threat,ict,threat_last3 / games_available_last3,HISTORICAL_SHIFTED,SAFE,
threat_last5,threat,ict,"shift(1), rolling(5).sum(min_periods=1)",HISTORICAL_SHIFTED,SAFE,
threat_avg5,threat,ict,threat_last5 / games_available_last5,HISTORICAL_SHIFTED,SAFE,
threat_last10,threat,ict,"shift(1), rolling(10).sum(min_periods=1)",HISTORICAL_SHIFTED,SAFE,
threat_avg10,threat,ict,threat_last10 / games_available_last10,HISTORICAL_SHIFTED,SAFE,
threat_season_before,threat,ict,"shift(1), season expanding sum",HISTORICAL_SHIFTED,SAFE,
creativity_last3,creativity,ict,"shift(1), rolling(3).sum(min_periods=1)",HISTORICAL_SHIFTED,SAFE,
creativity_avg3,creativity,ict,creativity_last3 / games_available_last3,HISTORICAL_SHIFTED,SAFE,
creativity_last5,creativity,ict,"shift(1), rolling(5).sum(min_periods=1)",HISTORICAL_SHIFTED,SAFE,
creativity_avg5,creativity,ict,creativity_last5 / games_available_last5,HISTORICAL_SHIFTED,SAFE,
creativity_last10,creativity,ict,"shift(1), rolling(10).sum(min_periods=1)",HISTORICAL_SHIFTED,SAFE,
creativity_avg10,creativity,ict,creativity_last10 / games_available_last10,HISTORICAL_SHIFTED,SAFE,
creativity_season_before,creativity,ict,"shift(1), season expanding sum",HISTORICAL_SHIFTED,SAFE,
influence_last3,influence,ict,"shift(1), rolling(3).sum(min_periods=1)",HISTORICAL_SHIFTED,SAFE,
influence_avg3,influence,ict,influence_last3 / games_available_last3,HISTORICAL_SHIFTED,SAFE,
influence_last5,influence,ict,"shift(1), rolling(5).sum(min_periods=1)",HISTORICAL_SHIFTED,SAFE,
influence_avg5,influence,ict,influence_last5 / games_available_last5,HISTORICAL_SHIFTED,SAFE,
influence_last10,influence,ict,"shift(1), rolling(10).sum(min_periods=1)",HISTORICAL_SHIFTED,SAFE,
influence_avg10,influence,ict,influence_last10 / games_available_last10,HISTORICAL_SHIFTED,SAFE,
influence_season_before,influence,ict,"shift(1), season expanding sum",HISTORICAL_SHIFTED,SAFE,
ict_last3,ict_index,ict,"shift(1), rolling(3).sum(min_periods=1)",HISTORICAL_SHIFTED,SAFE,
ict_avg3,ict_index,ict,ict_last3 / games_available_last3,HISTORICAL_SHIFTED,SAFE,
ict_last5,ict_index,ict,"shift(1), rolling(5).sum(min_periods=1)",HISTORICAL_SHIFTED,SAFE,
ict_avg5,ict_index,ict,ict_last5 / games_available_last5,HISTORICAL_SHIFTED,SAFE,
ict_last10,ict_index,ict,"shift(1), rolling(10).sum(min_periods=1)",HISTORICAL_SHIFTED,SAFE,
ict_avg10,ict_index,ict,ict_last10 / games_available_last10,HISTORICAL_SHIFTED,SAFE,
ict_season_before,ict_index,ict,"shift(1), season expanding sum",HISTORICAL_SHIFTED,SAFE,
points_last3,total_points,fpl_performance,"shift(1), rolling(3).sum(min_periods=1)",HISTORICAL_SHIFTED,SAFE,
points_avg3,total_points,fpl_performance,points_last3 / games_available_last3,HISTORICAL_SHIFTED,SAFE,
points_last5,total_points,fpl_performance,"shift(1), rolling(5).sum(min_periods=1)",HISTORICAL_SHIFTED,SAFE,
points_avg5,total_points,fpl_performance,points_last5 / games_available_last5,HISTORICAL_SHIFTED,SAFE,
points_last10,total_points,fpl_performance,"shift(1), rolling(10).sum(min_periods=1)",HISTORICAL_SHIFTED,SAFE,
points_avg10,total_points,fpl_performance,points_last10 / games_available_last10,HISTORICAL_SHIFTED,SAFE,
points_season_before,total_points,fpl_performance,"shift(1), season expanding sum",HISTORICAL_SHIFTED,SAFE,
bonus_last3,bonus,fpl_performance,"shift(1), rolling(3).sum(min_periods=1)",HISTORICAL_SHIFTED,SAFE,
bonus_avg3,bonus,fpl_performance,bonus_last3 / games_available_last3,HISTORICAL_SHIFTED,SAFE,
bonus_last5,bonus,fpl_performance,"shift(1), rolling(5).sum(min_periods=1)",HISTORICAL_SHIFTED,SAFE,
bonus_avg5,bonus,fpl_performance,bonus_last5 / games_available_last5,HISTORICAL_SHIFTED,SAFE,
bonus_last10,bonus,fpl_performance,"shift(1), rolling(10).sum(min_periods=1)",HISTORICAL_SHIFTED,SAFE,
bonus_avg10,bonus,fpl_performance,bonus_last10 / games_available_last10,HISTORICAL_SHIFTED,SAFE,
bonus_season_before,bonus,fpl_performance,"shift(1), season expanding sum",HISTORICAL_SHIFTED,SAFE,
bps_last3,bps,fpl_performance,"shift(1), rolling(3).sum(min_periods=1)",HISTORICAL_SHIFTED,SAFE,
bps_avg3,bps,fpl_performance,bps_last3 / games_available_last3,HISTORICAL_SHIFTED,SAFE,
bps_last5,bps,fpl_performance,"shift(1), rolling(5).sum(min_periods=1)",HISTORICAL_SHIFTED,SAFE,
bps_avg5,bps,fpl_performance,bps_last5 / games_available_last5,HISTORICAL_SHIFTED,SAFE,
bps_last10,bps,fpl_performance,"shift(1), rolling(10).sum(min_periods=1)",HISTORICAL_SHIFTED,SAFE,
bps_avg10,bps,fpl_performance,bps_last10 / games_available_last10,HISTORICAL_SHIFTED,SAFE,
bps_season_before,bps,fpl_performance,"shift(1), season expanding sum",HISTORICAL_SHIFTED,SAFE,
goals90_last3,"goals_scored,minutes",attacking,90 * sum(prior 3 goals_scored) / sum(prior 3 minutes),HISTORICAL_SHIFTED,SAFE,
goals90_last5,"goals_scored,minutes",attacking,90 * sum(prior 5 goals_scored) / sum(prior 5 minutes),HISTORICAL_SHIFTED,SAFE,
goals90_last10,"goals_scored,minutes",attacking,90 * sum(prior 10 goals_scored) / sum(prior 10 minutes),HISTORICAL_SHIFTED,SAFE,
assists90_last3,"assists,minutes",attacking,90 * sum(prior 3 assists) / sum(prior 3 minutes),HISTORICAL_SHIFTED,SAFE,
assists90_last5,"assists,minutes",attacking,90 * sum(prior 5 assists) / sum(prior 5 minutes),HISTORICAL_SHIFTED,SAFE,
assists90_last10,"assists,minutes",attacking,90 * sum(prior 10 assists) / sum(prior 10 minutes),HISTORICAL_SHIFTED,SAFE,
xG90_last3,"expected_goals,minutes",attacking,90 * sum(prior 3 expected_goals) / sum(prior 3 minutes),HISTORICAL_SHIFTED,SAFE,
xG90_last5,"expected_goals,minutes",attacking,90 * sum(prior 5 expected_goals) / sum(prior 5 minutes),HISTORICAL_SHIFTED,SAFE,
xG90_last10,"expected_goals,minutes",attacking,90 * sum(prior 10 expected_goals) / sum(prior 10 minutes),HISTORICAL_SHIFTED,SAFE,
xA90_last3,"expected_assists,minutes",attacking,90 * sum(prior 3 expected_assists) / sum(prior 3 minutes),HISTORICAL_SHIFTED,SAFE,
xA90_last5,"expected_assists,minutes",attacking,90 * sum(prior 5 expected_assists) / sum(prior 5 minutes),HISTORICAL_SHIFTED,SAFE,
xA90_last10,"expected_assists,minutes",attacking,90 * sum(prior 10 expected_assists) / sum(prior 10 minutes),HISTORICAL_SHIFTED,SAFE,
xGI90_last3,"expected_goal_involvements,minutes",attacking,90 * sum(prior 3 expected_goal_involvements) / sum(prior 3 minutes),HISTORICAL_SHIFTED,SAFE,
xGI90_last5,"expected_goal_involvements,minutes",attacking,90 * sum(prior 5 expected_goal_involvements) / sum(prior 5 minutes),HISTORICAL_SHIFTED,SAFE,
